"Name","Size","a","b","c","a/c","Type"
,,,,,,
"Dactyl",,1.6,,1.2,1.33,"A"
"243 Ida",,58.8,25.4,18.6,3.16,"A"
"9969 Braille",,2.1,1.0,1.0,2.10,"A"
"5535 Annefrank",,6.6,5.0,3.4,1.94,"A"
"2867 Steins",,5.9,,4.0,1.48,"A"
"433 Eros",,33.0,13.0,13.0,2.54,"A"
"25143 Itokawa",,0.5,0.3,0.2,2.50,"A"
"253 Mathilde",,66.0,48.0,44.0,1.50,"A"
"951 Gaspra",,18.2,10.5,8.9,2.04,"A"
"21 Lutetia",,132.0,101.0,76.0,1.74,"A"
"19P Borrelly",,8.0,,4.0,2.00,"C"
"9P Tempel 1",,7.6,,4.9,1.55,"C"
"81P Wild 2",,5.5,4.0,3.3,1.67,"C"
"1P Halley",,16.0,8.0,8.0,2.00,"C"
,,,,,,
"Mercury",,4879.4,,4879.4,1.00,"P"
"Venus",,12103.6,,12103.6,1.00,"P"
"Earth",,6378.1,,6356.8,1.00,"P"
"Mars",,6792.4,,6752.4,1.01,"P"
"Jupiter",,142984.0,,133708.0,1.07,"P"
"Saturn",,120536.0,,108728.0,1.11,"P"
"Uranus",,51118.0,,49946.0,1.02,"P"
"Neptune",,49528.0,,48682.0,1.02,"P"
,,,,,,
"Moon",,3476.3,,3471.94,1.00,"S"
,,,,,,
"Phobos",,26.8,22.4,18.4,1.46,"S"
"Deimos",,15.0,12.2,10.4,1.44,"S"
,,,,,,
"Metis",,60.0,40.0,34.0,1.76,"S"
"Adrastea",,20.0,16.0,14.0,1.43,"S"
"Amalthea",,250.0,146.0,128.0,1.95,"S"
"Thebe",,116.0,98.0,84.0,1.38,"S"
"Io",,3660.0,3637.4,3630.6,1.01,"S"
"Europa",,3121.6,,3121.6,1.00,"S"
"Ganymede",,5262.4,,5262.4,1.00,"S"
"Callisto",,4820.6,,4820.6,1.00,"S"
,,,,,,
"Pan",,35.0,32.0,21.0,1.67,"S"
"Daphnis",,9.0,9.0,6.0,1.50,"S"
"Atlas",,42.0,36.0,18.0,2.33,"S"
"Prometheus",,123.0,79.0,61.0,2.02,"S"
"Pandora",,103.0,80.0,64.0,1.61,"S"
"Epimetheus",,117.0,116.0,106.0,1.10,"S"
"Janus",,195.0,194.0,152.0,1.28,"S"
"Mimas",,415.0,394.0,381.0,1.09,"S"
"Pallene",,5.0,4.0,4.0,1.25,"S"
"Enceladus",,513.0,503.0,497.0,1.03,"S"
"Tethys",,1081.0,1062.0,1055.0,1.02,"S"
"Telesto",,31.0,24.0,21.0,1.48,"S"
"Calypso",,30.0,23.0,14.0,2.14,"S"
"Dione",,1128.0,1122.0,1121.0,1.01,"S"
"Helene",,39.0,37.0,25.0,1.56,"S"
"Polydeuces",,3.0,2.0,1.0,3.00,"S"
"Rhea",,1534.0,1526.0,1525.0,1.01,"S"
"Titan",,5151.0,,5151.0,1.00,"S"
"Hyperion",,328.0,260.0,214.0,1.53,"S"
"Iapetus",,1498.0,1495.0,1425.0,1.05,"S"
"Phoebe",,230.0,220.0,210.0,1.10,"S"
,,,,,,
"Cordelia",,50.0,,36.0,1.39,"S"
"Ophelia",,54.0,,38.0,1.42,"S"
"Bianca",,64.0,,46.0,1.39,"S"
"Cressida",,92.0,,74.0,1.24,"S"
"Desdemona",,90.0,,54.0,1.67,"S"
"Juliet",,150.0,,74.0,2.03,"S"
"Portia",,156.0,,126.0,1.24,"S"
"Belinda",,128.0,,64.0,2.00,"S"
"Miranda",,481.0,468.0,466.0,1.03,"S"
"Ariel",,1162.0,1156.0,1155.0,1.01,"S"
,,,,,,
"Naiad",,96.0,60.0,52.0,1.85,"S"
"Thalassa",,108.0,100.0,52.0,2.08,"S"
"Despina",,180.0,148.0,128.0,1.41,"S"
"Galatea",,204.0,184.0,144.0,1.42,"S"
"Larissa",,216.0,204.0,168.0,1.29,"S"
"Proteus",,436.0,416.0,402.0,1.08,"S"
"Triton",,2709.0,2706.0,2705.0,1.00,"S"
,,,,,,
"Ceres",,974.6,,909.4,1.07,"A"
"Pallas",,582.0,556.0,500.0,1.16,"A"
"Juno",,320.0,267.0,200.0,1.60,"A"
"Vesta",,578.0,560.0,458.0,1.26,"A"
"Astraea",,167.0,123.0,82.0,2.04,"A"
"Hebe",,205.0,185.0,170.0,1.21,"A"
"Iris",,240.0,200.0,200.0,1.20,"A"
"Flora",,136.0,136.0,113.0,1.20,"A"
"Metis",,235.0,195.0,140.0,1.68,"A"
"Hygiea",,500.0,385.0,350.0,1.43,"A"
